region,year,sector,value,country
,2010,GDP,"341100000000,00",THA
,2010,GDP,"0,00",CUW
,2010,GDP,"15900000000,00",AFG
,2017,GDP,"20800000000,00",AFG
,2010,Agriculture,"4134000000,00",AFG
,2017,Agriculture,"4368000000,00",AFG
,2010,Industry,"3339000000,00",AFG
,2017,Industry,"4576000000,00",AFG
,2010,Manufacturing,"1908000000,00",AFG
,2017,Manufacturing,"2288000000,00",AFG
,2010,Services(value added),"7806900000,00",AFG
,2017,Services(value added),"11024000000,00",AFG
,2010,GDP,"11900000000,00",ALB
,2017,GDP,"13000000000,00",ALB
,2010,Agriculture,"2142000000,00",ALB
,2017,Agriculture,"2470000000,00",ALB
,2010,Industry,"2975000000,00",ALB
,2017,Industry,"2730000000,00",ALB
,2010,Manufacturing,"595000000,00",ALB
,2017,Manufacturing,"780000000,00",ALB
,2010,Services(value added),"5236000000,00",ALB
,2017,Services(value added),"6149000000,00",ALB
,2010,GDP,"161200000000,00",DZA
,2017,GDP,"170400000000,00",DZA
,2010,Agriculture,"12896000000,00",DZA
,2017,Agriculture,"20448000000,00",DZA
,2010,Industry,"80600000000,00",DZA
,2017,Industry,"61344000000,00",DZA
,2010,Manufacturing,"8060000000,00",DZA
,2017,Manufacturing,"8520000000,00",DZA
,2010,Services(value added),"0,00",DZA
,2017,Services(value added),"75146400000,00",DZA
,2010,GDP,"600000000,00",ASM
,2017,GDP,"700000000,00",ASM
,2010,Agriculture,"0,00",ASM
,2017,Agriculture,"0,00",ASM
,2010,Industry,"0,00",ASM
,2017,Industry,"0,00",ASM
,2010,Manufacturing,"0,00",ASM
,2017,Manufacturing,"0,00",ASM
,2010,Services(value added),"0,00",ASM
,2017,Services(value added),"0,00",ASM
,2010,GDP,"3400000000,00",AND
,2017,GDP,"3000000000,00",AND
,2010,Agriculture,"0,00",AND
,2017,Agriculture,"0,00",AND
,2010,Industry,"442000000,00",AND
,2017,Industry,"300000000,00",AND
,2010,Manufacturing,"136000000,00",AND
,2017,Manufacturing,"90000000,00",AND
,2010,Services(value added),"2655400000,00",AND
,2017,Services(value added),"2376000000,00",AND
,2010,GDP,"1200000000,00",ATG
,2017,GDP,"1500000000,00",ATG
,2010,Agriculture,"24000000,00",ATG
,2017,Agriculture,"30000000,00",ATG
,2010,Industry,"192000000,00",ATG
,2017,Industry,"270000000,00",ATG
,2010,Manufacturing,"24000000,00",ATG
,2017,Manufacturing,"30000000,00",ATG
,2010,Services(value added),"852000000,00",ATG
,2017,Services(value added),"1038000000,00",ATG
,2010,GDP,"423600000000,00",ARG
,2017,GDP,"637600000000,00",ARG
,2010,Agriculture,"29652000000,00",ARG
,2017,Agriculture,"38256000000,00",ARG
,2010,Industry,"105900000000,00",ARG
,2017,Industry,"140272000000,00",ARG
,2010,Manufacturing,"67776000000,00",ARG
,2017,Manufacturing,"82888000000,00",ARG
,2010,Services(value added),"218154000000,00",ARG
,2017,Services(value added),"362794400000,00",ARG
,2010,GDP,"9300000000,00",ARM
,2017,GDP,"11500000000,00",ARM
,2010,Agriculture,"1581000000,00",ARM
,2017,Agriculture,"1725000000,00",ARM
,2010,Industry,"3069000000,00",ARM
SADC,2010,Industry,"0,00",AGO
,2017,Industry,"2875000000,00",ARM
,2010,Manufacturing,"930000000,00",ARM
,2017,Manufacturing,"1150000000,00",ARM
,2010,Services(value added),"3441000000,00",ARM
,2017,Services(value added),"5899500000,00",ARM
,2010,GDP,"2500000000,00",ABW
,2017,GDP,"0,00",ABW
,2010,Agriculture,"0,00",ABW
,2017,Agriculture,"0,00",ABW
,2010,Industry,"375000000,00",ABW
,2017,Industry,"0,00",ABW
,2010,Manufacturing,"100000000,00",ABW
,2017,Manufacturing,"0,00",ABW
,2010,Services(value added),"0,00",ABW
,2017,Services(value added),"0,00",ABW
,2010,GDP,"1144300000000,00",AUS
,2017,GDP,"1323400000000,00",AUS
,2010,Agriculture,"22886000000,00",AUS
,2017,Agriculture,"39702000000,00",AUS
,2010,Industry,"286075000000,00",AUS
,2017,Industry,"304382000000,00",AUS
,2010,Manufacturing,"91544000000,00",AUS
,2017,Manufacturing,"79404000000,00",AUS
,2010,Services(value added),"752949400000,00",AUS
,2017,Services(value added),"886678000000,00",AUS
,2010,GDP,"391900000000,00",AUT
,2017,GDP,"416600000000,00",AUT
,2010,Agriculture,"3919000000,00",AUT
,2017,Agriculture,"4166000000,00",AUT
,2010,Industry,"101894000000,00",AUT
,2017,Industry,"104150000000,00",AUT
,2010,Manufacturing,"62704000000,00",AUT
,2017,Manufacturing,"70822000000,00",AUT
,2010,Services(value added),"244153700000,00",AUT
,2017,Services(value added),"261624800000,00",AUT
,2010,GDP,"52900000000,00",AZE
,2017,GDP,"40700000000,00",AZE
,2010,Agriculture,"3174000000,00",AZE
,2017,Agriculture,"2442000000,00",AZE
,2010,Industry,"31740000000,00",AZE
,2017,Industry,"20350000000,00",AZE
,2010,Manufacturing,"2645000000,00",AZE
,2017,Manufacturing,"2035000000,00",AZE
,2010,Services(value added),"14759100000,00",AZE
,2017,Services(value added),"15262500000,00",AZE
,2010,GDP,"10100000000,00",BHS
,2017,GDP,"12200000000,00",BHS
,2010,Agriculture,"101000000,00",BHS
,2017,Agriculture,"122000000,00",BHS
,2010,Industry,"1111000000,00",BHS
,2017,Industry,"1586000000,00",BHS
,2010,Manufacturing,"202000000,00",BHS
,2017,Manufacturing,"366000000,00",BHS
,2010,Services(value added),"8191100000,00",BHS
,2017,Services(value added),"9137800000,00",BHS
,2010,GDP,"25700000000,00",BHR
,2017,GDP,"35300000000,00",BHR
,2010,Agriculture,"0,00",BHR
,2017,Agriculture,"0,00",BHR
,2010,Industry,"11565000000,00",BHR
,2017,Industry,"14473000000,00",BHR
,2010,Manufacturing,"3598000000,00",BHR
,2017,Manufacturing,"6707000000,00",BHR
,2010,Services(value added),"13800900000,00",BHR
,2017,Services(value added),"20121000000,00",BHR
,2010,GDP,"115300000000,00",BGD
,2017,GDP,"249700000000,00",BGD
,2010,Agriculture,"19601000000,00",BGD
,2017,Agriculture,"32461000000,00",BGD
,2010,Industry,"28825000000,00",BGD
,2017,Industry,"69916000000,00",BGD
,2010,Manufacturing,"18448000000,00",BGD
,2017,Manufacturing,"42449000000,00",BGD
,2010,Services(value added),"61685500000,00",BGD
,2017,Services(value added),"133589500000,00",BGD
,2010,GDP,"4500000000,00",BRB
,2017,GDP,"4800000000,00",BRB
,2010,Agriculture,"45000000,00",BRB
,2017,Agriculture,"48000000,00",BRB
,2010,Industry,"630000000,00",BRB
,2017,Industry,"624000000,00",BRB
,2010,Manufacturing,"270000000,00",BRB
,2017,Manufacturing,"240000000,00",BRB
,2010,Services(value added),"3352500000,00",BRB
,2017,Services(value added),"3595200000,00",BRB
,2010,GDP,"57200000000,00",BLR
,2017,GDP,"54400000000,00",BLR
,2010,Agriculture,"5148000000,00",BLR
,2017,Agriculture,"4352000000,00",BLR
,2010,Industry,"20020000000,00",BLR
,2017,Industry,"17408000000,00",BLR
,2010,Manufacturing,"13156000000,00",BLR
,2017,Manufacturing,"11968000000,00",BLR
,2010,Services(value added),"24882000000,00",BLR
,2017,Services(value added),"25513600000,00",BLR
,2010,GDP,"483500000000,00",BEL
,2017,GDP,"492700000000,00",BEL
,2010,Agriculture,"4835000000,00",BEL
,2017,Agriculture,"4927000000,00",BEL
,2010,Industry,"101535000000,00",BEL
,2017,Industry,"98540000000,00",BEL
,2010,Manufacturing,"62855000000,00",BEL
,2017,Manufacturing,"64051000000,00",BEL
,2010,Services(value added),"328296500000,00",BEL
,2017,Services(value added),"338977600000,00",BEL
,2010,GDP,"1400000000,00",BLZ
,2017,GDP,"1800000000,00",BLZ
,2010,Agriculture,"154000000,00",BLZ
,2017,Agriculture,"198000000,00",BLZ
,2010,Industry,"266000000,00",BLZ
,2017,Industry,"252000000,00",BLZ
,2010,Manufacturing,"168000000,00",BLZ
,2017,Manufacturing,"108000000,00",BLZ
,2010,Services(value added),"851200000,00",BLZ
,2017,Services(value added),"1051200000,00",BLZ
,2010,GDP,"7000000000,00",BEN
,2017,GDP,"9300000000,00",BEN
,2010,Agriculture,"1610000000,00",BEN
,2017,Agriculture,"2046000000,00",BEN
,2010,Industry,"1540000000,00",BEN
,2017,Industry,"1953000000,00",BEN
,2010,Manufacturing,"980000000,00",BEN
,2017,Manufacturing,"1116000000,00",BEN
,2010,Services(value added),"3129000000,00",BEN
,2017,Services(value added),"4361700000,00",BEN
,2010,GDP,"5700000000,00",BMU
,2017,GDP,"0,00",BMU
,2010,Agriculture,"57000000,00",BMU
,2017,Agriculture,"0,00",BMU
,2010,Industry,"456000000,00",BMU
,2017,Industry,"0,00",BMU
,2010,Manufacturing,"57000000,00",BMU
,2017,Manufacturing,"0,00",BMU
,2010,Services(value added),"0,00",BMU
,2017,Services(value added),"0,00",BMU
,2010,GDP,"1600000000,00",BTN
,2017,GDP,"2500000000,00",BTN
,2010,Agriculture,"272000000,00",BTN
,2017,Agriculture,"375000000,00",BTN
,2010,Industry,"688000000,00",BTN
,2017,Industry,"975000000,00",BTN
,2010,Manufacturing,"144000000,00",BTN
,2017,Manufacturing,"175000000,00",BTN
,2010,Services(value added),"582400000,00",BTN
,2017,Services(value added),"982500000,00",BTN
,2010,GDP,"19600000000,00",BOL
,2017,GDP,"37500000000,00",BOL
,2010,Agriculture,"1960000000,00",BOL
,2017,Agriculture,"4500000000,00",BOL
,2010,Industry,"5880000000,00",BOL
,2017,Industry,"9750000000,00",BOL
,2010,Manufacturing,"2156000000,00",BOL
,2017,Manufacturing,"3750000000,00",BOL
,2010,Services(value added),"8545600000,00",BOL
,2017,Services(value added),"18262500000,00",BOL
,2010,GDP,"17200000000,00",BIH
,2017,GDP,"18200000000,00",BIH
,2010,Agriculture,"1204000000,00",BIH
,2017,Agriculture,"1092000000,00",BIH
,2010,Industry,"3784000000,00",BIH
,2017,Industry,"4186000000,00",BIH
,2010,Manufacturing,"1892000000,00",BIH
,2017,Manufacturing,"2366000000,00",BIH
,2010,Services(value added),"9563200000,00",BIH
,2017,Services(value added),"10155600000,00",BIH
,2010,GDP,"2208900000000,00",BRA
,2017,GDP,"2055500000000,00",BRA
,2010,Agriculture,"88356000000,00",BRA
,2017,Agriculture,"102775000000,00",BRA
,2010,Industry,"508047000000,00",BRA
,2017,Industry,"369990000000,00",BRA
,2010,Manufacturing,"287157000000,00",BRA
,2017,Manufacturing,"205550000000,00",BRA
,2010,Services(value added),"1272326400000,00",BRA
,2017,Services(value added),"1297020500000,00",BRA
,2010,GDP,"13700000000,00",BRN
,2017,GDP,"12100000000,00",BRN
,2010,Agriculture,"137000000,00",BRN
,2017,Agriculture,"121000000,00",BRN
,2010,Industry,"9453000000,00",BRN
,2017,Industry,"7260000000,00",BRN
,2010,Manufacturing,"2055000000,00",BRN
,2017,Manufacturing,"1573000000,00",BRN
,2010,Services(value added),"4192200000,00",BRN
,2017,Services(value added),"4948900000,00",BRN
,2010,GDP,"50600000000,00",BGR
,2017,GDP,"56800000000,00",BGR
,2010,Agriculture,"2024000000,00",BGR
,2017,Agriculture,"2272000000,00",BGR
,2010,Industry,"12144000000,00",BGR
,2017,Industry,"14200000000,00",BGR
,2010,Manufacturing,"6072000000,00",BGR
,2017,Manufacturing,"7952000000,00",BGR
,2010,Services(value added),"29854000000,00",BGR
,2017,Services(value added),"33114400000,00",BGR
,2010,GDP,"9000000000,00",BFA
,2017,GDP,"12900000000,00",BFA
,2010,Agriculture,"2970000000,00",BFA
,2017,Agriculture,"3612000000,00",BFA
,2010,Industry,"1890000000,00",BFA
,2017,Industry,"2709000000,00",BFA
,2010,Manufacturing,"630000000,00",BFA
,2017,Manufacturing,"774000000,00",BFA
,2010,Services(value added),"3492000000,00",BFA
,2017,Services(value added),"5418000000,00",BFA
,2010,GDP,"2000000000,00",BDI
,2017,GDP,"3500000000,00",BDI
,2010,Agriculture,"740000000,00",BDI
,2017,Agriculture,"1260000000,00",BDI
,2010,Industry,"300000000,00",BDI
,2017,Industry,"525000000,00",BDI
,2010,Manufacturing,"180000000,00",BDI
,2017,Manufacturing,"315000000,00",BDI
,2010,Services(value added),"0,00",BDI
,2017,Services(value added),"0,00",BDI
,2010,GDP,"1700000000,00",CPV
,2017,GDP,"1800000000,00",CPV
,2010,Agriculture,"136000000,00",CPV
,2017,Agriculture,"108000000,00",CPV
,2010,Industry,"306000000,00",CPV
,2017,Industry,"342000000,00",CPV
,2010,Manufacturing,"85000000,00",CPV
,2017,Manufacturing,"144000000,00",CPV
,2010,Services(value added),"1040400000,00",CPV
,2017,Services(value added),"1103400000,00",CPV
,2010,GDP,"11200000000,00",KHM
,2017,GDP,"22200000000,00",KHM
,2010,Agriculture,"3808000000,00",KHM
,2017,Agriculture,"5106000000,00",KHM
,2010,Industry,"2464000000,00",KHM
,2017,Industry,"6882000000,00",KHM
,2010,Manufacturing,"1680000000,00",KHM
,2017,Manufacturing,"3552000000,00",KHM
,2010,Services(value added),"4289600000,00",KHM
,2017,Services(value added),"8813400000,00",KHM
,2010,GDP,"26100000000,00",CMR
,2017,GDP,"34800000000,00",CMR
,2010,Agriculture,"3654000000,00",CMR
,2017,Agriculture,"5220000000,00",CMR
,2010,Industry,"7047000000,00",CMR
,2017,Industry,"8352000000,00",CMR
,2010,Manufacturing,"3654000000,00",CMR
,2017,Manufacturing,"5220000000,00",CMR
,2010,Services(value added),"13598100000,00",CMR
,2017,Services(value added),"18339600000,00",CMR
,2010,GDP,"1613500000000,00",CAN
,2017,GDP,"1653000000000,00",CAN
,2010,Agriculture,"16135000000,00",CAN
,2017,Agriculture,"0,00",CAN
,2010,Industry,"435645000000,00",CAN
,2017,Industry,"0,00",CAN
,2010,Manufacturing,"161350000000,00",CAN
,2017,Manufacturing,"0,00",CAN
,2010,Services(value added),"1056842500000,00",CAN
,2017,Services(value added),"0,00",CAN
,2010,GDP,"0,00",CYM
,2017,GDP,"0,00",CYM
,2010,Agriculture,"0,00",CYM
,2017,Agriculture,"0,00",CYM
,2010,Industry,"0,00",CYM
,2017,Industry,"0,00",CYM
,2010,Manufacturing,"0,00",CYM
,2017,Manufacturing,"0,00",CYM
,2010,Services(value added),"0,00",CYM
,2017,Services(value added),"0,00",CYM
,2010,GDP,"2000000000,00",CAF
,2017,GDP,"1900000000,00",CAF
,2010,Agriculture,"1000000000,00",CAF
,2017,Agriculture,"760000000,00",CAF
,2010,Industry,"260000000,00",CAF
,2017,Industry,"285000000,00",CAF
,2010,Manufacturing,"120000000,00",CAF
,2017,Manufacturing,"133000000,00",CAF
,2010,Services(value added),"594000000,00",CAF
,2017,Services(value added),"746700000,00",CAF
,2010,GDP,"10700000000,00",TCD
,2017,GDP,"10000000000,00",TCD
,2010,Agriculture,"5564000000,00",TCD
,2017,Agriculture,"4900000000,00",TCD
,2010,Industry,"1284000000,00",TCD
,2017,Industry,"1500000000,00",TCD
,2010,Manufacturing,"107000000,00",TCD
,2017,Manufacturing,"300000000,00",TCD
,2010,Services(value added),"3573800000,00",TCD
,2017,Services(value added),"3350000000,00",TCD
,2010,GDP,"0,00", Channel Islands
,2017,GDP,"0,00", Channel Islands
,2010,Agriculture,"0,00", Channel Islands
,2017,Agriculture,"0,00", Channel Islands
,2010,Industry,"0,00", Channel Islands
,2017,Industry,"0,00", Channel Islands
,2010,Manufacturing,"0,00", Channel Islands
,2017,Manufacturing,"0,00", Channel Islands
,2010,Services(value added),"0,00", Channel Islands
,2017,Services(value added),"0,00", Channel Islands
,2010,GDP,"218500000000,00",CHL
,2017,GDP,"277100000000,00",CHL
,2010,Agriculture,"8740000000,00",CHL
,2017,Agriculture,"11084000000,00",CHL
,2010,Industry,"78660000000,00",CHL
,2017,Industry,"83130000000,00",CHL
,2010,Manufacturing,"24035000000,00",CHL
,2017,Manufacturing,"27710000000,00",CHL
,2010,Services(value added),"115368000000,00",CHL
,2017,Services(value added),"159609600000,00",CHL
,2010,GDP,"6100600000000,00",CHN
,2017,GDP,"12237700000000,00",CHN
,2010,Agriculture,"610060000000,00",CHN
,2017,Agriculture,"979016000000,00",CHN
,2010,Industry,"2806276000000,00",CHN
,2017,Industry,"4895080000000,00",CHN
,2010,Manufacturing,"1952192000000,00",CHN
,2017,Manufacturing,"3548933000000,00",CHN
,2010,Services(value added),"2690364600000,00",CHN
,2017,Services(value added),"6314653200000,00",CHN
,2010,GDP,"228600000000,00",HKG
,2017,GDP,"341400000000,00",HKG
,2010,Agriculture,"0,00",HKG
,2017,Agriculture,"0,00",HKG
,2010,Industry,"16002000000,00",HKG
,2017,Industry,"23898000000,00",HKG
,2010,Manufacturing,"4572000000,00",HKG
,2017,Manufacturing,"3414000000,00",HKG
,2010,Services(value added),"207797400000,00",HKG
,2017,Services(value added),"305553000000,00",HKG
,2010,GDP,"28100000000,00",MAC
,2017,GDP,"50400000000,00",MAC
,2010,Agriculture,"0,00",MAC
,2017,Agriculture,"0,00",MAC
,2010,Industry,"1405000000,00",MAC
,2017,Industry,"3528000000,00",MAC
,2010,Manufacturing,"281000000,00",MAC
,2017,Manufacturing,"504000000,00",MAC
,2010,Services(value added),"26526400000,00",MAC
,2017,Services(value added),"46620000000,00",MAC
,2010,GDP,"287000000000,00",COL
,2017,GDP,"309200000000,00",COL
,2010,Agriculture,"20090000000,00",COL
,2017,Agriculture,"18552000000,00",COL
,2010,Industry,"91840000000,00",COL
,2017,Industry,"89668000000,00",COL
,2010,Manufacturing,"37310000000,00",COL
,2017,Manufacturing,"34012000000,00",COL
,2010,Services(value added),"152397000000,00",COL
,2017,Services(value added),"172224400000,00",COL
,2010,GDP,"500000000,00",COM
,2017,GDP,"600000000,00",COM
,2010,Agriculture,"200000000,00",COM
,2017,Agriculture,"204000000,00",COM
,2010,Industry,"60000000,00",COM
,2017,Industry,"66000000,00",COM
,2010,Manufacturing,"25000000,00",COM
,2017,Manufacturing,"48000000,00",COM
,2010,Services(value added),"243000000,00",COM
,2017,Services(value added),"334200000,00",COM
,2010,GDP,"12000000000,00",COG
,2017,GDP,"8700000000,00",COG
,2010,Agriculture,"480000000,00",COG
,2017,Agriculture,"609000000,00",COG
,2010,Industry,"9000000000,00",COG
,2017,Industry,"4698000000,00",COG
,2010,Manufacturing,"480000000,00",COG
,2017,Manufacturing,"696000000,00",COG
,2010,Services(value added),"2496000000,00",COG
,2017,Services(value added),"3349500000,00",COG
,2010,GDP,"37300000000,00",CRI
,2017,GDP,"57100000000,00",CRI
,2010,Agriculture,"2611000000,00",CRI
,2017,Agriculture,"2855000000,00",CRI
,2010,Industry,"8579000000,00",CRI
,2017,Industry,"10849000000,00",CRI
,2010,Manufacturing,"5222000000,00",CRI
,2017,Manufacturing,"6852000000,00",CRI
,2010,Services(value added),"23051400000,00",CRI
,2017,Services(value added),"38999300000,00",CRI
,2010,GDP,"24900000000,00",CIV
,2017,GDP,"40400000000,00",CIV
,2010,Agriculture,"6225000000,00",CIV
,2017,Agriculture,"8080000000,00",CIV
,2010,Industry,"5478000000,00",CIV
,2017,Industry,"10908000000,00",CIV
,2010,Manufacturing,"3237000000,00",CIV
,2017,Manufacturing,"5252000000,00",CIV
,2010,Services(value added),"13221900000,00",CIV
,2017,Services(value added),"16806400000,00",CIV
,2010,GDP,"59800000000,00",HRV
,2017,GDP,"54800000000,00",HRV
,2010,Agriculture,"2392000000,00",HRV
,2017,Agriculture,"1644000000,00",HRV
,2010,Industry,"13754000000,00",HRV
,2017,Industry,"12056000000,00",HRV
,2010,Manufacturing,"7176000000,00",HRV
,2017,Manufacturing,"7124000000,00",HRV
,2010,Services(value added),"35102600000,00",HRV
,2017,Services(value added),"32058000000,00",HRV
,2010,GDP,"64300000000,00",CUB
,2017,GDP,"87100000000,00",CUB
,2010,Agriculture,"2572000000,00",CUB
,2017,Agriculture,"3484000000,00",CUB
,2010,Industry,"14789000000,00",CUB
,2017,Industry,"19162000000,00",CUB
,2010,Manufacturing,"9645000000,00",CUB
,2017,Manufacturing,"12194000000,00",CUB
,2010,Services(value added),"0,00",CUB
,2017,Services(value added),"0,00",CUB
,2017,GDP,"0,00",CUW
,2010,Agriculture,"0,00",CUW
,2017,Agriculture,"0,00",CUW
,2010,Industry,"0,00",CUW
,2017,Industry,"0,00",CUW
,2010,Manufacturing,"0,00",CUW
,2017,Manufacturing,"0,00",CUW
,2010,Services(value added),"0,00",CUW
,2017,Services(value added),"0,00",CUW
,2010,GDP,"25600000000,00",CYP
,2017,GDP,"21700000000,00",CYP
,2010,Agriculture,"512000000,00",CYP
,2017,Agriculture,"434000000,00",CYP
,2010,Industry,"3840000000,00",CYP
,2017,Industry,"2170000000,00",CYP
,2010,Manufacturing,"1280000000,00",CYP
,2017,Manufacturing,"868000000,00",CYP
,2010,Services(value added),"18252800000,00",CYP
,2017,Services(value added),"16426900000,00",CYP
,2010,GDP,"207500000000,00",CZE
,2017,GDP,"215700000000,00",CZE
,2010,Agriculture,"4150000000,00",CZE
,2017,Agriculture,"4314000000,00",CZE
,2010,Industry,"68475000000,00",CZE
,2017,Industry,"71181000000,00",CZE
,2010,Manufacturing,"43575000000,00",CZE
,2017,Manufacturing,"51768000000,00",CZE
,2010,Services(value added),"115370000000,00",CZE
,2017,Services(value added),"116909400000,00",CZE
,2010,GDP,"322000000000,00",DNK
,2017,GDP,"324900000000,00",DNK
,2010,Agriculture,"3220000000,00",DNK
,2017,Agriculture,"3249000000,00",DNK
,2010,Industry,"64400000000,00",DNK
,2017,Industry,"64980000000,00",DNK
,2010,Manufacturing,"35420000000,00",DNK
,2017,Manufacturing,"42237000000,00",DNK
,2010,Services(value added),"210588000000,00",DNK
,2017,Services(value added),"214109100000,00",DNK
,2010,GDP,"1100000000,00",DJI
,2017,GDP,"1800000000,00",DJI
,2010,Agriculture,"0,00",DJI
,2017,Agriculture,"36000000,00",DJI
,2010,Industry,"0,00",DJI
,2017,Industry,"288000000,00",DJI
,2010,Manufacturing,"0,00",DJI
,2017,Manufacturing,"72000000,00",DJI
,2010,Services(value added),"0,00",DJI
,2017,Services(value added),"1294200000,00",DJI
,2010,GDP,"500000000,00",DMA
,2017,GDP,"600000000,00",DMA
,2010,Agriculture,"55000000,00",DMA
,2017,Agriculture,"96000000,00",DMA
,2010,Industry,"60000000,00",DMA
,2017,Industry,"72000000,00",DMA
,2010,Manufacturing,"10000000,00",DMA
,2017,Manufacturing,"12000000,00",DMA
,2010,Services(value added),"301500000,00",DMA
,2017,Services(value added),"348000000,00",DMA
,2010,GDP,"54000000000,00",DOM
,2017,GDP,"75900000000,00",DOM
,2010,Agriculture,"3240000000,00",DOM
,2017,Agriculture,"4554000000,00",DOM
,2010,Industry,"14040000000,00",DOM
,2017,Industry,"18975000000,00",DOM
,2010,Manufacturing,"8100000000,00",DOM
,2017,Manufacturing,"9867000000,00",DOM
,2010,Services(value added),"33156000000,00",DOM
,2017,Services(value added),"47058000000,00",DOM
,2010,GDP,"69600000000,00",ECU
,2017,GDP,"103100000000,00",ECU
,2010,Agriculture,"6960000000,00",ECU
,2017,Agriculture,"9279000000,00",ECU
,2010,Industry,"24360000000,00",ECU
,2017,Industry,"31961000000,00",ECU
,2010,Manufacturing,"7656000000,00",ECU
,2017,Manufacturing,"9279000000,00",ECU
,2010,Services(value added),"35565600000,00",ECU
,2017,Services(value added),"53715100000,00",ECU
,2010,GDP,"218900000000,00",EGY
,2017,GDP,"235400000000,00",EGY
,2010,Agriculture,"28457000000,00",EGY
,2017,Agriculture,"25894000000,00",EGY
,2010,Industry,"78804000000,00",EGY
,2017,Industry,"80036000000,00",EGY
,2010,Manufacturing,"35024000000,00",EGY
,2017,Manufacturing,"37664000000,00",EGY
,2010,Services(value added),"0,00",EGY
,2017,Services(value added),"0,00",EGY
,2010,GDP,"18400000000,00",SLV
,2017,GDP,"24800000000,00",SLV
,2010,Agriculture,"1288000000,00",SLV
,2017,Agriculture,"1488000000,00",SLV
,2010,Industry,"4600000000,00",SLV
,2017,Industry,"6200000000,00",SLV
,2010,Manufacturing,"2944000000,00",SLV
,2017,Manufacturing,"3968000000,00",SLV
